possession	владение, имущество
sledge	сани
kite	воздушный змей
set off	отправляться (в путь)
filth	грязь, мерзость
delight	восторг
positive	уверенный
enormous	огромный, громадный
stand up to	противостоять
harsh	жёсткий, суровый
rubber	резина, ластик
yolk	желток
egg white	яичный белок
loaf	буханка, булка
exquisite	изысканный
refinement	утонченность, изысканность
surplus	избыток
gorgeous	великолепный
whether	если, ли
oriental	восточный
tribe	племя
cheer up	подбадривать
remedy	лекарство, противоядие
violin	скрипка
fig	инжир
grip	схватить, хватка
flour	мука
shovel	лопата
insane	безумный
vicious	злобный, жестокий
glamour	очарование
pull ups	подтягивания
callous	чёрствый, мозоль
dead lift	становая тяга
curls	сгибания
crepes	блины
incense	ладан, благовония
akward	неуклюжий, неловкий
tend	иметь тенденцию, тяготеть
treat	относиться, обращаться
cinamon	корица
bun	булочка
overwhelming	подавляющий, ошеломляющий
passionate	страстный к чему-то
splurge	транжирить
pick-me-up	тонизирующее средство
goggles	защитные очки, очки для плавания
a handful of sth	горсть
predator	хищник
herbivore	травоядное
omnivorous	всеядный
crows	вороны
ostrich	страус
dove	голубь
pigeon	голубь, обманывать
seagull	чайка
peacock	павлин
missile	ракета
fowl	домашняя птица
swan	лебедь
UV	ультрафиолетовый
handbrake	ручной тормоз
look away	отводить взгляд, отворачиваться
it blows my mind	это взрывает мне мозг
clutch	сцепление
gear stick	рычаг переключения передач
gearbox	коробка передач
boot	багажник, ботинок
trunk	багажник, хобот
You were speeding	вы превысили скорость
overtake	обгонять
fasten the belt	застегивать ремень
license plate	номерной знак
steering wheel	руль
windscreen wiper	дворники
flash	вспышка
dent	вмятина, впадина
overpass	эстакада
vital	жизненно важный
girder	балка
plump	пухлый, толстеть
worship	поклоняться
revile	оскорблять, ругать
revere	уважать, почитать
flock	стадо, стая
desperate	отчаянный
plead	умолять
see which way the cat jumps	посмотрим, куда ветер дует
gum	десна, жвачка
significant	значительный, значимый
lane	полоса дороги, переулок
cockroach	таракан
petal	лепесток
saliva	слюна
virtue	добродетель, достоинство
to tie	сравнять счёт, сыграть вничью
speak up	говорить громче
