van	фургон
moped	мопед
pedestrian	пешеход
sidewalk	тротуар, пешеходная дорожка
pavement	тротуар
suspend	приостанавливать, откладывать
curriculum	учебный план
drop by	заскочить, заехать
principal	главный, директор школы
could have p.p	мог бы сделать
should have p.p	должен был сделать
knot	узел, завязывать узел
ribbon	бантик, лента
to be to do	должен сделать
rush hour	час пик
tow truck	эвакуатор, буксир
fool	дурак
donkey	ослик, осёл
as far as I know	насколько я знаю
scrutinize	тщательно изучать
remunerate	вознаграждать, оплачивать, компенсировать
nurture	воспитывать, очень сильно заботиться
deteriorate	ухудшаться
articulate	четко выражающий свои мысли
embrace	сжимать в объятиях
liaise with	поддерживать связь с (рабочая, партнёрская)
accomplish	выполнять, достигать
remorse	раскаяние
bite the bullet	стиснуть зубы
wound	рана, ранить
a piece of cake	проще простого
Kill two birds with one stone	убить двух зайцев одним выстрелом
let the cat out of the bag	выдать секрет, проболтаться
once in a blue moon	очень редко
at the drop of a hat	немедленно
cry over spilt milk	горевать о непоправимом
count your chickens before they hatch	цыплят по осени считают
hatch	вылупляться, высиживать яйца, люк
towel	полотенце
to cross that bridge when you come to it	решать проблемы по мере поступления
genuine	подлинный, истинный
let somebody down	подводить кого-то
to breath down sb's neck	стоять над душой, дышать в спину
honk	сигналить, гудеть
peek	подглядывать, быстрый взгляд
crap	чепуха, дерьмо
joy	радость
seize	схватить
catch up	догнать, настичь, наверстать
hatred	ненависть
mind the gap	осторожно, щель
distinct	отчетливый, определенный
dip	макать, нырять
retract	втягивать, брать обратно (слова)
drum	барабан
distrought	обезумевший
drip	капать
drain	истощать, осушать
conventional	обычный, традиционный
arise	возникать
savory	пикантный, аппетитный
exclaim	восклицать, вскрикнуть
colon	двоеточие
semicolon	точка с запятой
legume	бобовые
put sth off	отложить на потом
put smb up	разместить кого то, приютить
put sth down to sth	объяснять что-либо чем-либо
stoke	разжигать, топить, подогреть
mutilate	калечить, уродовать
persecute	преследовать, подвергать гонениям
detention	задержание
encourage	поощрять, поддерживать
oath	клятва
headquarter	головной офис
maternity leave	декретный отпуск
feed	лента
shift	смена
supply	поставка, принадлежность, припасы
mate	приятель
in my shoes	на моем месте
graduation ceremony	выпускная церемония
explicit	явный
invoice	счет, накладная, квитанция
to be up in the air	быть в подвешенном состоянии
to be in the red	быть в долгах
sack	мешок
get the sack/get sacked	быть уволенным
brew	заваривать, варить
stew meat	тушить мясо
utterance	высказывание
caption	заголовок, подпись, надпись
signature	подпись, автограф
compatible	совместимый, сочетаемый
tight	тесный, тугой, натянутый
jigsaw	головоломка, пазл
aisle	проход между рядами
explose	разоблачать, взрываться
maze	лабиринт, путаница
