detain	задерживать
outhouse	пристройка, флигель
porch	крыльцо, веранда, подъезд
jail	тюремное заключение
asylum	убежище, приют
wipe	вытирать, стирать
gait	походка
murmur	бормотать, шептать
polish	полировать
show off	выпендриваться, хвастаться
tangerine	мандарин
mammal	млекопитающее
toot my own horn	хвастаться
spare time	свободное время
compatriot	соотечественник, земляк
classmate	одноклассник, одногруппник
hung up	вешать/бросать трубку
dash	тире, мчаться
collocation	словосочетание
beanie	шапочка
I am angry AT the situation	Я зол на эту ситуацию
feed up with	сыт по горло
be pleased with	быть довольным чем-то
centipedes and millipedes	сороконожки и многоножки
personality traits	черты характера
minute	мельчайший
cut into	нарезать на, врезаться в
rollerblading	катание на роликах
augment	увеличивать, прибавлять
substract	вычитать, отнимать
go out with someone	встречаться с кем-то
hectic	беспокойный, лихорадочный
currant	смородина
cranberry	клюква
italicize	выделять курсивом
correspond	соответствовать
incorporate	включать (в себя что-то)
offend	обижать, оскорблять
to have a grudge	иметь обиду
hung on	подожди
diall a number	набирать номер
go off	сработать
anthem	гимн, торжественная песнь
attenuate	ослаблять, смягчать
snail	улитка
gleam	блеск, отблеск
appropriate	соответствующий, подходящий
anticipate	ожидать, предвидеть
dread	бояться, страшиться
spot	заметить, обнаружить, пятно
bulb	лампочка
sheer	абсолютный, полнейший
plausible	правдоподобный, вероятный
despise	презирать
cloak	плащ
compulsory	обязательный, принудительный
reminisce	предаваться воспоминаниям
rescue	спасать, спасение, выручка
stray	бездомный, бродячий, заблудившийся
gluttony	чревоугодие, обжорство
sloth	лень
doubt	сомневаться
lumber	древесина, пиломатериалы
recall	вспоминать
porridge	каша, овсяная каша
redemption	искупление, выкуп
omission	упущение, бездействие
nails	ногти, гвозди
squirrel	белка
insult	оскорбление, оскорблять
enquiry	запрос, требование
considerate	внимательный к другим, тактичный
grateful	благодарный, признательный
to put it mildly/to say the least	мягко говоря, мягко выражаясь
struggle	борьба, бороться
cloth	ткань, тряпка, скатерть
pathway	тропинка, дорожка
vigorous	сильный, энергичный, решительный
resign	уходить в отставку, увольняться
via	через, с помощью чего-либо
lavish	обильный, щедрый, расточительный
ingrain	внедрять, укоренять
abdicate	отрекаться, отказываться
roster	перечень, реестр, список
plumber	сантехник
wardrobe	гардероб, шкаф для одежды
deck out	украшивать
sprawl	разрастаться, растягиваться
dotted	усеянный, пунктирный, точечный
as well as	так же как
stretch	растягивать, простираться
upkeep	содержание, уход, обслуживание
landmark	ориентир, достопримечательность
atrocity	зверство, жестокость
reside	проживать, жить, пребывать, находиться
tie	галстук, завязывать, связь
commoner	простолюдин
pluck	срывать, выщипывать
asset	имущество, актив
steady	устойчивый, стабильный
equestrian	конный спорт, всадник
modest	скромный, сдержанный
purse strings	финансовые ресурсы/потоки
immense	огромный, безмерный, необъятный
approximate	приблизительный, приближать
