hollow	пустой, полый
deaf	глухой
spatula	лопатка, шпатель
foam	пена, пениться
shave	брить, бриться
laisure	досуг, отдых
inattentive	невнимательный, халатный
stamp	марка, штамп
clench	сжимать, стискивать
continuous	непрерывный
poverty	бедность, нищета
cozy/cosy	уютный, удобный
riot	бунт, восстание
appetizer	закуска, аперитив
confirm	подтверждать, подкреплять
due to	из-за, благодаря
adjancency	смежность, соседство
likelyhood	вероятность, правдоподобие
couch	диван
brunch	поздний завтрак
concurrency	совпадение, параллелизм
stick with/to	Придерживаться чего-л., быть верным, не отвлекаться, не отклоняться
involve	вовлекать, включать в себя
prior	предшествующий, предварительный
posterior	последующий
trace	след, прослеживать
derive	получать, извлекать
given that	учитывая что, при условии
addiction to	зависимость от, пристрастие к
edification	назидание, наставление
be about to	собираться что-то сделать
suffocate	задыхаться, душить
resuscitate	реанимировать, приводить в сознание, оживлять
dormitory	общежитие
stage	сцена, стадия
omen	предзнаменование, примета
oblivion	забвение, забывчивость
adjust	регулировать, приспосабливать
astound	поражать, изумлять
conversely	наоборот, напротив
numb	онемевший, окоченевший
irritate	раздражать
delay	задержка, задерживать
sunburn	солнечный ожог
fetch	приносить, получать
thus	так, таким образом
assign	назначать, присваивать
utility	полезность, выгодность
avalanche	лавина, обвал
fee	плата, гонорар, вознаграждение, взнос
feasible	осуществимый, выполнимый
stake	доля, ставка
prompt	побуждать, срочный
sophisticated	изысканный, утонченный
intrusive	навязчивый, назойливый
sole	единственный, исключительный, подошва
outperform	превосходить
exceed	превышать, превосходить
fusion	слияние, сплав
assume	предполагать, допускать
respective/ly	соответственный, соответственно
induce	побуждать, склонять
imposture	обман, жульничество, самозванство
whereby	посредством чего, при помощи чего
narrow down	сузить, уменьшать
conclude	заключать, делать вывод
deprive	лишать, отнимать
yell	кричать, вопить
groan	стонать, стон
sufficient	достаточный, обоснованный
satisfy	удовлетворять
amuse	забавлять, развлекать
I've called your bluff	Я раскрыл твой блеф
particular	конкретный, определенный
harm	вред, ущерб
reach the point (where/when)	достичь той точки
decay	распад, разложение
come round	заходить ненадолго, заглянуть, приходить в себя
see somebody off	провожать (уезжающих)
cough	кашель, кашлять
running nose	насморк, сопливый нос
sober	трезвый
settle	поселиться, улаживать
bounty	щедрость, награда
seam	шов, стык
parent in law	кто-либо из родителей мужа или жены
seem	казаться, представляться
praise	хвалить, похвала
expire	истекать
adverse	неблагоприятный
adversary	противник, соперник
spread	распространять
urgency	срочность, неотложность
river bank	берег реки
escort	сопровождать, провожать
accompany	сопровождать, сопутствовать
facilitate	облегчать, способствовать
persist	упорствовать, настойчиво продолжать
beside (s)	рядом (кроме того, помимо)
throughout	на протяжении, по всему
salvage	спасение, спасать
tempt (temptation)	соблазнять, искушать
bully	хулиган, запугивать, издеваться
adage	пословица, поговорка
unfound (ed)	необнаруженный (необоснованный)
