jug	кувшин
figure out	выяснить
pastry	выпечка
wonder	интересоваться
interact	взаимодействовать
bark	лаять
to be proud of	гордиться
liver	печень
contradict	противоречить
pretend	притворяться
wander	бродить, блуждать
attract	привлекать
benchmark	критерий
disease	болезнь
acid	кислота
alert	бдительный, внимательный
prevent	предотвращать
lighter	зажигалка
buckwheat	гречка
pipe	труба
advantages	преимущества
ripe	спелый
accidentally	случайно
to be keen on	увлекаться чем-либо
reclaim	вернуть, исправлять
refund	возврат денег
rely	полагаться
cheerful	веселый
retire	уходить на пенсию
to be into	увлекаться
to be raised	быть воспитанным
easygoing	беззаботный
agile	проворный, ловкий
fragile	хрупкий
arrange	организовывать
drop off	высаживать
villain	злодей
mess	беспорядок
curious	любопытный
enhance	усиливать
sustainable	устойчивый
devastating	разрушительный
carnage	резня
mitigate	смягчать
emission	выброс
anxiety	беспокойство, тревога
avoid	избегать
proper	правильный
congest	перегружать
dull	скучный
estate	имущество
on behalf of	от имени
bribe	взятка
bizarre	странный, причудливый
heyday	расcвет
merrily	весело
ferry	паром, переправа
refuse	отказываться
legislation	законодательство
demand	требовать
revenge	месть
swell	набухать
bid	заявка
saw	пила
concrete	бетон
interfere	мешать
thrilling	захватывающий
engagement	помолвка
fell into	попасть
afford	позволять себе
effort	усилие
divorce	развод
estimate	оценивать
chase	гнаться
vehicle	транспортное средство
steer	направлять, управлять
gospel	евангелие, проповедь
hostile	враждебный
preach	проповедовать
chores	домашние дела
hernia	грыжа
obviously	очевидно
find out	выяснять
carry on	продолжать
prohibition	запрет
obligation	обязательство
impose	навязывать, облагать
direction	направление
accommodation	жилье
yours faithfully	искренне ваш
