stringest	строгий
scrape	скрести
sharp	острый
excerpt	отрывок
exhaust	истощать
pry	любопытствовать, совать нос в чужие дела
blubber	рыдать, пузырь
reveal	выявлять, раскрывать
consciousness	сознание, сознательность
take for granted	принимать как должное
latch	защелка
matches	спички
fluff	пух
appliances	техника
grocery	продуктовый
means	средство, способ
trade-off	обмен, компромисс, уступка
purchase	покупка
decline	отклонить, снижаться
justification	обоснование, оправдание
refine	усовершенствовать
backlash	обратная реакция
awkward	неуклюжий, неловкий
obsessive	навязчивый
grasp	схватить
detriment	ущерб, вред
drastic	радикальный
paw	лапа
blunt	тупой, грубый
sway	качаться, колебаться
strain	напряжение
pick out	выбрать
consume	потреблять
charity	благотворительность
nevertheless	тем не менее
hunch	горбиться
rigid	жесткий, негибкий
mermaid	русалка, сирена
bowtie	галстук-бабочка
eyebrow	бровь
pupil	зрачок
it's everything, but	это все, что угодно, кроме
cello	виолончель
overcome	преодолеть, побороть
comprehend	понимать, постигать, осмысливать, соображать
ox (oxen)	бык (рогатый скот)
profundity	глубина, глубокомыслие
futile	бесполезный, напрасный, тщетный
perception	восприятие, ощущение
emphasize	подчеркивать, акцентировать
cessation	прекращение, остановка
stillness	неподвижность, спокойствие
engage	вовлекать
supreme	верховный, высший
convince	убеждать, уверять
pitch	подача
supplement	дополнение
negotiation	переговоры
crack	трещина
brush	щетка
reach	достигать
complement	дополнение
mediocre	посредственный, заурядный
endear	расположить к себе, внушить любовь
insist	настаивать, утверждать
torture	пытка
sanity	здравомыслие
intact	неповрежденный, целый
bull's eye	в яблочко
narrative	повествование, рассказ
straightforward	прямолинейный
appreciate	ценить
abide	соблюдать, придерживаться, выполнять
uptight	встревоженный
mansion	особняк
ostentatious	показной, хвастливый
mural	фреска
prodigious	удивительный, поразительный
demolish	сносить, разрушать
overly	чрезмерно
adore	обожать
deliberate	преднамеренный
flesh	плоть
encase	упаковывать
flick	щелчок
flake	чешуйка, хлопья
meadow	луг
fascination	прелесть, очарование
dazzle	ослеплять
glow	светиться
canvas	холст
overt	явный, неприкрытый
cliff	утес, скала
tender	нежный, ласковый
compliant	уступчивый, податливый
molicious	злонамеренный
artifice	хитрость, выдумка
stir emotions	вызывать эмоции
ink	чернила
crucial	решающий, ключевой
be fond of	любить, увлекаться
crochet	вязять крючком
wale	кит
